new entry "Interrupt_COS_ChaosStrike"
type "InterruptData"
data "DisplayName" "haa27e5f3g7d69g50feg9ebeg30c66b4b7b0d;1"
data "Description" "h32a9174bgf89eg52d5g8cbeg08260e9432ce;1"
data "Icon" "COS_Strike"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "IsAbleToReact(context.Observer) and Self(context.Source,context.Observer) and ((HasInterruptedAttack() and (IsWeaponAttack() or IsSpell())) or (HasInterruptedSavingThrow() and IsSpell() and HasFunctor(StatsFunctorType.DealDamage))) and not HasStatus('COS_CHAOS_STRIKE_ACTIVE',context.Observer) and not AnyEntityIsItem() and HasPassive('COS_CFG_MECH_STRIKE',context.Observer)"
data "Properties" "IF(HasInterruptedAttack()):SetRoll(20);IF(HasInterruptedSavingThrow()):SetRoll(1);IF(HasInterruptedSavingThrow()):AdjustRoll(-99,All);ApplyStatus(OBSERVER_OBSERVER,COS_CHAOS_STRIKE_ACTIVE,100,1)"
data "Cost" "ReactionActionPoint:1;COS_ChaosStrike:1"
data "InterruptDefaultValue" "Ask;Enabled"
data "EnableCondition" "HasActionResource('COS_ChaosStrike',1,0,false,false,context.Source) and not HasStatus('COS_CHAOS_STRIKE_ACTIVE',context.Source) and HasPassive('COS_CFG_MECH_STRIKE',context.Source)"
data "EnableContext" "OnActionResourcesChanged;OnStatusApplied;OnStatusRemoved"
